卖家ID,前一天登录次数,前一周登录次数,上传产品数量,审核通过的产品总数量,在线产品数量,前一天产品曝光次数,前一周产品曝光次数,最近7天产品曝光次数,前一天在线时长,前一周在线时长,最近7天登录次数,最近7天在线时长,前一个月登录次数,前一个月在线时长,最近30天登录次数,最近30天在线时长,前3个月登录次数,前3个月在线时长,最近90天登录次数,最近90天在线时长,前一月产品曝光次数,最近30天产品曝光次数,前3月产品曝光次数,最近90天产品曝光次数,城市,诚保类型,黄牌数量,警告数量,代理商名称,最近60天手动好评数量,最近60天中评数量,最近60天差评数量,最近60天的订单未评价率
ff8080814c30bd1c014c449e28eb2368,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,深圳市, ,0,0, ,0,0,0,0
ff8080814c30bd6d014c449e17ba22e2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,淄博市, ,0,0, ,0,0,0,0
ff8080814c30bd6b014c449e0e4522bd,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,杭州市, ,0,0,淘金国际电子商务江苏有限公司,0,0,0,0
ff8080814c30bd6b014c449d6e6622b7,1,3,14,14,14,1,2,3,0.00,3.56,4,3.56,1,0.12,5,3.68,1,0.12,5,3.68,0,3,0,3,金华市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c449948cb2349,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,清远市, ,0,0, ,0,0,0,0
ff8080814c30bd6b014c4498378922a6,0,0,0,0,0,0,0,0,0,0,0,0,2,0.38,2,0.38,2,0.38,2,0.38,0,0,0,0,深圳市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c44981539234d,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,东莞市, ,0,0, ,0,0,0,0
ff8080814c30bd6b014c44973692229c,0,0,0,0,0,0,0,0,0,0,0,0,2,2.62,2,2.62,2,2.62,2,2.62,0,0,0,0,苏州市, ,0,0, ,0,0,0,0
ff8080814c30bd6b014c4495378c2295,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,东莞市, ,0,0, ,0,0,0,0
ff8080814c30bd6d014c4494b90f22ba,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,杭州市, ,0,0, ,0,0,0,0
ff8080814c30bd6d014c4494555222b2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,济南市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c4494009c232f,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,深圳市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c449351fb2324,1,6,181,169,169,531,2295,2672,0.28,0.53,6,0.81,9,0.20,15,1.01,9,0.20,15,1.01,939,3611,939,3611,苏州市, ,0,0,苏州沃金网络科技有限公司,0,0,0,0
ff8080814c30bd1c014c4491dae02314,1,6,2,1,1,41,248,236,0.38,0.37,6,0.75,9,2.84,15,3.59,9,2.84,15,3.59,297,533,297,533,莆田市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c4491a3be232c,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,广州市, ,0,0, ,0,0,0,0
ff8080814c30bd6b014c4490b14f227f,0,0,0,0,0,0,0,0,0,0,0,0,1,0.32,1,0.32,1,0.32,1,0.32,0,0,0,0,安康地区, ,0,0, ,0,0,0,0
ff8080814c30bd6d014c449084cd2297,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,杭州市, ,0,0, ,0,0,0,0
